name,longitude,latitude
Curry Villa,2.3834793,48.8464754
Chez Francis,2.3018704,48.8650517
Le Bosphore,2.4008958,48.8518769
Capone Nation,2.3980971,48.8477852
Oh Sushi,2.3428606,48.8284546
Wako,2.3162946,48.8330455
Mosuke,2.3224012,48.8362254
Chez Farhat,2.3224024,48.8364089
Casa Dagusto,2.320014,48.8324709
Bon Royal,2.3202607,48.832164
L'Imprévu,2.3206876,48.8324557
Bai Thong,2.3722999,48.8514297
La Galette du Moulin,2.3374869,48.884085
Foujita,2.3328148,48.8663999
Casa Naktel,2.3924117,48.8367172
Le Cambodge,2.3926576,48.8366661
Istambul,2.3933514,48.8366787
Chrono Pizza,2.3950798,48.8362289
La Terrasse des Métiers,2.3895259,48.8440277
Royal Montgallet,2.3892766,48.8432799
Toto Sushi,2.3825955,48.8450336
Thai Time,2.3826032,48.8453967
Mei Xi,2.3796937,48.8463781
Sefa Antalya,2.3823365,48.8466733
Kanji,2.3869061,48.8469567
Sandwichs Vietnamiens,2.3879237,48.843692
Le Relais Diderot,2.3807641,48.8464938
Sushi Bar,2.3824558,48.8466891
Deniz,2.3787984,48.8501888
Bibimcup,2.3813881,48.8506115
Chez Guan,2.3782973,48.8493705
La Conivence,2.3766544,48.8481949
Sardegna Tavola,2.3767134,48.8482849
Le China,2.37377,48.8499216
Les 2 Saveurs,2.3933509,48.8456109
Edo Sushi,2.3873134,48.8410573
Le Bariolé,2.3863253,48.8745188
I Quattro Mori,2.3735429,48.8478582
Chez Peppe,2.3741932,48.8483311
Ô Saveur Bar,2.3751092,48.8495128
Regno di Napoli,2.3737111,48.8462275
Point de Faim,2.3736929,48.8466535
Le Coq,2.3740738,48.8484928
Bistrot de la Gare,2.3720988,48.8458407
L'Européen,2.3726478,48.8459184
Pizzeria Venezia,2.3746104,48.8491474
Ristorante Pellicano,2.3725177,48.8471402
Le singe à Paris,2.3747617,48.8490161
Les Deux Savoies,2.3736299,48.8460157
Ginza,2.3727405,48.8470772
Le Viaduc café,2.375248,48.8475609
Karma,2.3726034,48.8469814
Le Muratti's,2.3725698,48.8459741
Aux Cadrans,2.3730386,48.8459507
Fosca',2.3718694,48.8458112
Brasserie – Pizzeria d’Azur,2.3718546,48.8464544
Au Couvert d'Asie,2.3762844,48.8501253
,2.3873421,48.8477171
Il Far Niente,2.3908138,48.8489954
Paya Thaï Aligre,2.3788828,48.8497475
Colbeh,2.3492264,48.8442266
Escale à Saïgon,2.3347804,48.83102
Le Bambou,2.3624715,48.8252128
Pho Hoa Pasteur Saigon 新麗都酒家,2.3623868,48.8251313
Palais d'Asie,2.3622623,48.8248667
Le Balbuzard Café,2.359478,48.868785
Le Soleil de la Butte,2.3452428,48.8865096
Le Saigon,2.3745288,48.8490473
Istambul Ayasofya,2.3736501,48.8471159
Entre les Vignes,2.3753959,48.8462167
King Marcel,2.3764579,48.8460027
Mandarin Diderot,2.3749747,48.8458391
La Parisienne,2.3747494,48.8458024
Oasis,2.3743237,48.8461276
Aux Délices de Pékin,2.3746137,48.8465674
Le Duc de Richelieu,2.3730534,48.8469247
Traiteur de la Gare,2.3729742,48.8466746
Croq' o' Pain,2.3727596,48.8466393
La Cappadoce,2.3715454,48.8471577
Li Yuan,2.3708817,48.8472565
Le Dix-sept,2.3707631,48.8471819
Osaka,2.3702882,48.846728
Authentic Bento,2.3701195,48.8456137
Terminus,2.3717151,48.8457953
La Maison du Délice,2.3704736,48.8457141
Le Kaizen,2.3322906,48.8269211
Assanabel,2.3356387,48.8275549
Le Coche,2.3595554,48.8263171
McDonald's,2.3666605,48.8269269
Pomme de Pain,2.3252146,48.8752261
McDonald's,2.3255792,48.8752761
Burger King,2.326991,48.8757173
McDonald's,2.3282798,48.8835297
Quick,2.3270648,48.8838538
Indian Swad,2.2973784,48.832462
Da Attilio,2.3021401,48.8342552
Le Grand Pan,2.3057247,48.8330642
KFC,2.2962718,48.837025
L'Oriental,2.379478,48.8922518
Chez Chen,2.380134,48.8919041
Okinawa,2.3041925,48.8567473
La Maison du Sushi,2.3044115,48.85622
Le Bosquet,2.3045247,48.8560475
La Fontaine de Jade,2.3047711,48.855529
Tina,2.3054236,48.8555382
Les Crocs de l'Ogre,2.3056319,48.8551046
Le Repère Gourmand,2.2575999,48.844997
Bistrot Paul Bert,2.3849242,48.852223
Les Funambules,2.3842956,48.8510651
BREIZH Café - Paul Bert,2.3847257,48.8525339
Columbus Café & Co,2.3799128,48.8463782
Maydo,2.3838856,48.8452457
Fondue 9,2.3622896,48.823978
Palermo,2.319708,48.889004
Starbucks,2.3278989,48.8833766
Starbucks,2.3044258,48.8714631
Le Monte Carlo,2.3070491,48.8714048
Délice d'Or,2.4041332,48.8524629
Les Marronniers,2.3548,48.8577895
Caffé Vito,2.354676,48.8576438
Le Ju,2.3547383,48.8577293
Le Pain Quotidien,2.3549208,48.8578549
McDonald's,2.3252141,48.8875232
La Piazza,2.306018,48.8343459
,2.3935686,48.834385
Hippopotamus,2.3862477,48.8330278
The Frog at Bercy Village,2.3860133,48.8330467
Le Poncelet,2.2995227,48.8803159
Le Bloc,2.3179496,48.8890782
Sukoshi,2.3635033,48.8330119
Nouveau Village Tao Tao,2.3612312,48.83228
Carrefour City,2.3540446,48.8331196
Phò,2.3590298,48.8321701
Crêperie Paris Breizh,2.35821,48.8319327
Edoko,2.3348111,48.8634038
